assessment_name,assessment_created_date,submitted_for_review_date,program_id,program_title,section_title,question_text,question_rating,question_notes,section_average_rating,goals_set,question_goal_name,question_goal_baseline_rating,question_goal_target_rating,question_goal_achieved_rating,question_goal_status
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,65. Does your program have a history of retaining staff members over time?,4,"Yes, in our youth development program, which includes mentoring, many of our staff have been with 18 Degrees five years or longer. A few have exceeded the ten-year mark. Our staff's growth is supported through the formation of a Leadership Cohort which is now in its third year. Staff completing the cohort training have gone to expanded positions within the agency and some have found growth in the community. It is the goal of 18 Degrees to support staff on their professional journey.",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,"66. Does your program have adequate staffing for the number of mentoring relationships being served currently, allowing the program to implement services with fidelity and consistency?",4,"Yes, our mentoring program recently expanded to include a director-level position to provide assistance, support, and oversight for the mentor coordinator. The director of volunteer services has the responsibility for reporting, assisting with grant writing, budgeting, and more allowing the mentor coordinator to focus efforts on supporting and growing the program's mentoring relationships.  ",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,67. Do all staff members have relevant backgrounds and education for the roles they are filling?,5,"The director of volunteer services has a bachelor's degree in criminal justice and human services, has worked in volunteer management for over eight years, and has been a mentor in the program for almost five years. The mentor coordinator has is currently working on her bachelor's in social work and was previously employed as a community health worker and community resource provider for the city of Pittsfield. ",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,"68. Does your program offer onboarding training for all staff members, as well as ongoing training and professional development opportunities?",4,"Yes, our staff members are provided with onboarding training at the program level (90 day) and at the agency level (half-day training). Our agency's current leadership cohort recently developed a new onboarding template to ensure that all staff members receive inclusive training. We also hold an annual staff development day; every program has a budget for staff development; we use the Relias training system .",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,"69. Does your program provide program leadership and staff with training on issues of diversity, equity, inclusion, and cultural responsiveness?",4,"Yes, as mentioned above, our agency values our IDEA (Inclusion, Diversity, Equity and Access) work. In an effort to support this 18 Degrees has begun affinity groups including the IDEA task force, Lived Experience, Supervision and Leadership, and Motivational Interviewing. Each group attends regular meetings to take a deeper dive into issues and concerns related to their group. Groups also attend trainings on their specific topic then share the knowledge they gained with the larger group. Affinity groups are peer led and supported and guided by our VP of programs.  ",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,L. Program Leadership and Staffing,"70. Does your program have policies and/or procedures in place for addressing discrimination based on race, color, religion, gender identity/sexuality, national origin, disability, and/or age (e.g., workplace hostility, advancement, whistle-blower policy, communications, etc.)?",5,"Yes, our Human Resources department recently updated our employee handbook to include all of the above (available upon request). This is reviewed with new employees during the hiring process and during the agency orientation training. A digital copy is also available to employees through a shared Teams folder. Every employee is also required to complete workplace harassment training, whistle-blower policy, and effective communication through our Relias training system. ",4.14,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,M. Community Engagement,71. Does your program implement appropriate community engagement strategies to ensure that it is part of the larger youth support ecosystem in your community?,4,"The 18 Degrees mentoring program is supported by our youth development team and all team members do outreach of some type in the community. This includes working and partnering with the local schools, the DA's office, the YMCA, the juvenile court, and other community stakeholders. Members of the youth development team are on the board of directors for other youth serving organizations. The team regularly hosts and attends community events. We also have a Pittsfield Community Connection Steering Committee run by the VP of Youth Development which consists of staff and community stakeholders who meet quarterly to provide guidance, networking, and oversight. ",4.25,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,M. Community Engagement,"72. Does your program seek input from marginalized communities in programming development (i.e., interpretation of outcomes, communication materials, recruitment planning, training for participants)?",4,"Yes, through conversations with our participant families, we learn about the changing needs of our growing populations & identify new ways to support them.  We serve families from a variety of cultural & linguistic backgrounds, working to understand their needs & to help them feel welcome. For example, because the Latino/a/x community was identified as an underserved & growing population in western Mass., our programs employ bi-lingual, Spanish-speaking staff to deliver the program in our families’ primary language whenever possible. We also use interpretive services to ensure families can access information, attend programming, & maintain communication in their preferred language whenever we do not have an in-house staff member to meet those needs.  
 
18 Degrees values and encourages our participants’ voices in our planning & decision-making. Families are experts in their own lives, & we consider staff to be guides to help them discover their skills & strengths.  Our relationships with families are based on partnership & collaboration & we remind them of the voluntary nature of our services.  We set clear expectations together to define our role & the responsibilities of the family.  We provide consistent information & are accessible to families in many ways – phone, text, emails, & in–person or virtual visits.  Our staff stays flexible to meet their needs yet provides the structure to contradict the chaos that is often part of their lives.  Through this groundwork, we earn trust, so that when we ask for feedback, they can provide this honestly & openly.   
 
In addition to the various advisory groups described above, we receive more formal feedback from individual participants through annual satisfaction surveys. We target questions to seek information on service quality & culturally & linguistically appropriate service delivery. We ask if home visitors are respectful & sensitive when in their homes & amidst their culture. We follow up on their feedback to demonstrate the importance of their opinion & experience.   
",4.25,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,M. Community Engagement,"73. Are program staff knowledgeable about historical and current traumas and injustices related to race, ethnicity, religion, gender identity/sexuality, national origin, disability, and/or age that may be experienced by mentees (& their families) within the areas they live (e.g. access or lack of access to resources for safe housing, advanced education, economic opportunities, transportation, health, public safety, food, etc.)?",4,"At 18 Degrees Diversity, Equity, Inclusion, and Belonging (EIB) is part of our agency-wide Inclusion, Diversity, Equity, & Access (IDEA) efforts & task force.  We understand that systemic oppression, redlining & other societal factors have led to a lack of generational wealth & perpetuated poverty among specific local populations. Our commitment to DEIB goes hand in hand with Trauma-Informed Care, integrating moving forward one step at a time with understanding the factors that contributed to an individual's situation, including struggles as well as strengths. Our goals include items that are part of our common practices & ensure we keep DEIB present in our workforce & the services we provide. Our agency shares this with staff through trainings that address root causes and use evidence-based practices throughout our work. ",4.25,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,M. Community Engagement,74. Does your program have dedicated resources available to provide accommodations to increase accessibility for program participants as needed?,5,"Yes, the 18 Degrees mentoring program has access to many dedicated resources through our Pittsfield Community Connection program and our Family Resource Center. PCC provides transportation for youth to attend groups and drop-in hours; the program also has a washer and dryer available for participants use, provides gift cards to reinforce positive development, and meet youth where they by offering community outreach and non-traditional business hours. Similarly, our Family Resource Center works alongside parents, children, teens, caregivers and all individuals to access services within our agency or to other community services if needed. ",4.25,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,N. Communications and Marketing,75. Does your program have a written communications and marketing plan?,4,"We do not have a written communications and marketing plan specifically for mentoring; however, the director of volunteer services role is supervised by the VP of Advancement and is a member of the advancement team. We meet regularly to discuss marketing and communication strategies. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,N. Communications and Marketing,"76. Do your program’s communication materials accurately portray the population of youth served and surrounding communities in varied media (website, social media, recruitment materials, staff communication) using asset-based language?",4,It is the goal of 18 Degrees to always use asset-based language in all materials.  All forms of communication need to be approved by the VP of Advancement before being distributed. ,4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,O. Financial Management and Resource Development,77. Does your program have a detailed annual program budget and formal accounting system?,4,Mentoring services fall under the budgets of several programs - but is formally accounted for by each program director and overseen by the VP of Finance. ,4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,O. Financial Management and Resource Development,78. Does your program have a formal resource development plan that details how the program will ensure it maintains its operating funds over time?,4,"18 Degrees operates under a board approved budget for each fiscal year. Within the budget each program is funded individually through a variety of sources including grants, state funding, and donor contributions. Diversified funding produces stability. In the event of a short fall for any particular program 18 Degrees is committed to ensuring continuation of services through the efforts of our Grants and Outcome director and Advancement team who continually meet and work with individual programs to ensure successful funding. 18 Degrees also receives unrestricted funds that can help a program as needed. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,O. Financial Management and Resource Development,"79. Does your program have a code of ethics or decision-making guidelines that govern your fundraising efforts (i.e., detailing what kinds of organizations you would not accept funding from)?",4,"Yes, we have a gift acceptance policy available for review if needed. ",4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,P. Information Management,80. Does your program have written policies and procedures for managing participant information and other records that reflect safety and confidentiality concerns?,4,Confidentiality is of the highest concern to 18 Degrees. Our mentoring policies and procedures manual describes how we manage participant information and records. All participants files are locked and information such as case notes are maintained in a secure database called FAMCare.,4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,P. Information Management,"81. Does your program have a system, such as a database, for collecting and managing information about program participants, their relationships, and their program experience?",4,Previously we have maintained participants information in the Optima database system - we have recently transitioned to using the FAMCare database.,4,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,Q. Program Evaluation,82. Does your program have a written evaluation and/or data collection plan?,2,"This is an area where our program would like to focus efforts for improvement. We need to develop better surveys and methods for measuring mentee and mentor outcomes. We currently have detailed information about relationship activities and regularly receive participant feedback, but the other areas offer a great opportunity for growth.",2.33,Yes - Question Goal,Evaluation and Data Collection Plan Documentation,2,3,,Goal Not Evaluated
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,Q. Program Evaluation,83. Does your program use a mentoring relationship quality survey or questionnaire to assess the quality of the relationship at least once during each program year?,3,We send out mentoring relationship quality surveys to mentors 2 times per year and to our mentees 1 time per year. ,2.33,Yes - Question Goal,Program Survey Review ,3,4,,Goal Not Evaluated
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,Q. Program Evaluation,"84. Does your program use professionally developed data collection tools (i.e., validated surveys or “scales”) to measure participant outcomes?",2,"The surveys we have been using in our program were developed by our former mentor coordinator and were based on validated surveys. We have had support from Mass Mentoring for several years and I believe the MC worked with MMP to develop our surveys. However, I cannot confirm what surveys or scales they originated from.",2.33,Yes - Question Goal,Program Survey Quality Assurance,2,3,,Goal Not Evaluated
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,Q. Program Evaluation,85. Does your program analyze program implementation data on a set schedule to refine program practices and troubleshoot problems?,2,"We analyze our data regularly for reporting purposes. However, refining program practices and troubleshooting was not always done on a regular schedule. We have made changes to the program that will help us address this, but there is an area where we would appreciate MMP's guidance and suggestions. ",2.33,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,Q. Program Evaluation,"86. Does your program examine youth outcomes through the lens of race/ethnicity, sexual orientation, gender identity and expression, disability, etc. to see how different groups of youth are experiencing the program?",2,"We approach our work with an equity lens, but this is an area where improved surveys could help us to better examine outcomes and evaluate how different youth are experiencing the program.",2.33,No,,,,,
2025 Self-Assessment,"April 1, 2025, 8:08 PM","June 2, 2025","161,214",18 Degrees Mentoring,Q. Program Evaluation,"87. Does your program share your evaluation findings with program stakeholders including participants, staff, board members, funders, etc.?",3,"Yes, we share our outcomes through our annual report, at community events, with our board at meetings, and with our funders through our reporting. ",2.33,No,,,,,
