Section,Question,"Average Rating","BBBS of Alaska - Juneau rating","BBBS of Alaska - Juneau comments","BBBS of Alaska -- Fairbanks rating","BBBS of Alaska -- Fairbanks comments","BBBS of Alaska --Anchorage rating","BBBS of Alaska --Anchorage comments","Big Brother Sports Buddies Program rating","Big Brother Sports Buddies Program comments","Big Brothers Big Sisters Community Mentoring Program rating","Big Brothers Big Sisters Community Mentoring Program comments","Big Brothers Big Sisters of Santa Cruz County rating","Big Brothers Big Sisters of Santa Cruz County comments","Big Brothers Big Sisters of Siouxland rating","Big Brothers Big Sisters of Siouxland comments","Big Brothers Big Sisters of the Bay Area rating","Big Brothers Big Sisters of the Bay Area comments","Hyun 8/29 Maryland rating","Hyun 8/29 Maryland comments","Hyun Test 5/2 rating","Hyun Test 5/2 comments","Hyun Test Program rating","Hyun Test Program comments","Hyun Test Program 6/24 rating","Hyun Test Program 6/24 comments","Hyuns test Iowa Program  rating","Hyuns test Iowa Program  comments","Orases Test Program rating","Orases Test Program comments","Project Uplift rating","Project Uplift comments"
"L. Program Leadership and Staffing","58. Does your program’s board of directors provide adequate resources and governance to support the program?",1.6666666666667,3,,N/A,,3,,2,,1,,3,,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,2,,3,,1,,N/A,,2,,N/A,,4,
"L. Program Leadership and Staffing","59. Do the members of your program’s board of directors or advisory committee reflect the diversity of the community being served and the mentors and mentees participating in the program?",1.9333333333333,4,,N/A,,N/A,,2,,3,,4,,4,,1,,3,,3,,1,,3,,1,,N/A,,N/A,
"L. Program Leadership and Staffing","60. Does your program’s board of directors or advisory committee regularly assess and balance its composition by race/ethnicity, gender, sexuality, ability, etc.?",2,2,,N/A,,2,,3,,3,,4,,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,3,,3,,1,,4,,1,,N/A,,3,
"L. Program Leadership and Staffing","61. Are youth represented on your board of directors or advisory committee or offered other meaningful opportunities to provide input into program leadership and/or decisions?",1.5333333333333,2,,N/A,,N/A,,3,,3,,3,,N/A,,1,,2,,4,,1,,3,,1,,N/A,,N/A,
"L. Program Leadership and Staffing","62. Does the staff of your program reflect the diversity of the community being served and the mentors and mentees participating in the program?",1.6666666666667,N/A,,N/A,,4,,N/A,,2,,5,,1,,1,,N/A,,4,,1,,5,,2,,N/A,,N/A,
"L. Program Leadership and Staffing","63. Does program leadership (or the board of directors) regularly assess its organization and leadership composition by race/ethnicity, gender, sexuality, ability, etc.?",1.7333333333333,2,,N/A,,3,,2,,1,,1,,3,,1,,N/A,,2,,1,,3,,4,,N/A,,3,
"L. Program Leadership and Staffing","64. Does your organization have strategies and policies in place to recruit and retain staff of color, including leadership?",1.4666666666667,N/A,,N/A,,3,,N/A,,2,,N/A,,2,,1,,2,,3,,1,,4,,2,,N/A,,2,
"L. Program Leadership and Staffing","65. Does your program have a history of retaining staff members over time?",1.4666666666667,N/A,,N/A,,N/A,,N/A,,2,,3,,N/A,,1,,3,,3,,1,,4,,2,,N/A,,3,
"L. Program Leadership and Staffing","66. Does your program have adequate staffing for the number of mentoring relationships being served currently, allowing the program to implement services with fidelity and consistency?",1.4,N/A,,N/A,,N/A,,N/A,,2,,3,,3,,1,,N/A,,4,,1,,4,,3,,N/A,,N/A,
"L. Program Leadership and Staffing","67. Do all staff members have relevant backgrounds and education for the roles they are filling?",1.2666666666667,2,,N/A,,N/A,,N/A,,1,,N/A,,4,,1,,N/A,,5,,1,,3,,N/A,,N/A,,2,
"L. Program Leadership and Staffing","68. Does your program offer onboarding training for all staff members, as well as ongoing training and professional development opportunities?",1.9333333333333,3,,N/A,,4,,2,,3,,3,,4,,1,,1,,3,,1,,3,,1,,N/A,,N/A,
"L. Program Leadership and Staffing","69. Does your program provide program leadership and staff with training on issues of diversity, equity, inclusion, and cultural responsiveness?",2,3,,N/A,,3,,2,,2,,3,,2,,1,,5,,4,,1,,N/A,,4,,N/A,,N/A,
"L. Program Leadership and Staffing","70. Does your program have policies and/or procedures in place for addressing discrimination based on race, color, religion, gender identity/sexuality, national origin, disability, and/or age (e.g., workplace hostility, advancement, whistle-blower policy, communications, etc.)?",2.2,5,,N/A,,4,,3,,2,,3,,3,,1,,2,,0,,1,,4,,2,,N/A,,3,
"M. Community Engagement","71. Does your program implement appropriate community engagement strategies to ensure that it is part of the larger youth support ecosystem in your community?",2.2666666666667,4,,N/A,,2,,3,,2,,5,,N/A,,1,,4,,3,,1,,4,,2,,N/A,,3,
"M. Community Engagement","72. Does your program seek input from marginalized communities in programming development (i.e., interpretation of outcomes, communication materials, recruitment planning, training for participants)?",1.2666666666667,N/A,,N/A,,N/A,,N/A,,3,,2,,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,2,,3,,1,,N/A,,N/A,,N/A,,3,
"M. Community Engagement","73. Are program staff knowledgeable about historical and current traumas and injustices related to race, ethnicity, religion, gender identity/sexuality, national origin, disability, and/or age that may be experienced by mentees (& their families) within the areas they live (e.g. access or lack of access to resources for safe housing, advanced education, economic opportunities, transportation, health, public safety, food, etc.)?",1.4,2,,N/A,,2,,3,,3,,4,,N/A,,1,,0,,2,,1,,N/A,,3,,N/A,,N/A,
"M. Community Engagement","74. Does your program have dedicated resources available to provide accommodations to increase accessibility for program participants as needed?",1.4666666666667,N/A,,N/A,,4,,2,,3,,1,,N/A,,1,,N/A,,4,,1,,3,,3,,N/A,,N/A,
"N. Communications and Marketing","75. Does your program have a written communications and marketing plan?",1.5333333333333,3,,N/A,,4,,N/A,,2,,3,,N/A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,4,,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla paria",1,,3,,N/A,,N/A,,N/A,
"N. Communications and Marketing","76. Do your program’s communication materials accurately portray the population of youth served and surrounding communities in varied media (website, social media, recruitment materials, staff communication) using asset-based language?",1,N/A,,N/A,,N/A,,1,,1,,2,,3,,1,,1,,2,,1,,3,,N/A,,N/A,,N/A,
"O. Financial Management and Resource Development","77. Does your program have a detailed annual program budget and formal accounting system?",1.4666666666667,N/A,,N/A,,3,,3,,N/A,,N/A,,3,,1,,5,,N/A,,1,,3,,N/A,,0,,3,
"O. Financial Management and Resource Development","78. Does your program have a formal resource development plan that details how the program will ensure it maintains its operating funds over time?",1.5333333333333,N/A,,N/A,,N/A,,3,,3,,2,,3,,1,,N/A,,N/A,,1,,3,,1,,2,,4,
"O. Financial Management and Resource Development","79. Does your program have a code of ethics or decision-making guidelines that govern your fundraising efforts (i.e., detailing what kinds of organizations you would not accept funding from)?",1.5333333333333,2,,N/A,,3,,3,,2,,2,,N/A,,1,,N/A,,4,,1,,N/A,,3,,2,,N/A,
"P. Information Management","80. Does your program have written policies and procedures for managing participant information and other records that reflect safety and confidentiality concerns?",1.7333333333333,3,,N/A,,N/A,,4,,2,,2,,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",1,,N/A,,4,,1,,N/A,,2,,N/A,,4,
"P. Information Management","81. Does your program have a system, such as a database, for collecting and managing information about program participants, their relationships, and their program experience?",2.2,3,,N/A,,3,,4,,2,,3,,4,,1,,1,,2,,1,,N/A,,5,,N/A,,4,
"Q. Program Evaluation","82. Does your program have a written evaluation and/or data collection plan?",1.8,N/A,,N/A,,3,,1,,2,,3,,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",2,,3,,N/A,,1,,3,,3,,N/A,,2,
"Q. Program Evaluation","83. Does your program use a mentoring relationship quality survey or questionnaire to assess the quality of the relationship at least once during each program year?",2.3333333333333,3,,N/A,,4,,2,,3,,4,,3,,2,,2,,4,,1,,2,,N/A,,2,,3,
"Q. Program Evaluation","84. Does your program use professionally developed data collection tools (i.e., validated surveys or “scales”) to measure participant outcomes?",1.4,N/A,,N/A,,5,,N/A,,4,,N/A,,3,,2,,3,,N/A,,1,,3,,N/A,,N/A,,N/A,
"Q. Program Evaluation","85. Does your program analyze program implementation data on a set schedule to refine program practices and troubleshoot problems?",1.3333333333333,N/A,,N/A,,N/A,,3,,4,,1,,1,,2,,3,,2,,1,,3,,N/A,,N/A,,N/A,
"Q. Program Evaluation","86. Does your program examine youth outcomes through the lens of race/ethnicity, sexual orientation, gender identity and expression, disability, etc. to see how different groups of youth are experiencing the program?",1.6666666666667,N/A,,N/A,,N/A,,3,,2,,3,,3,,2,,5,,4,,1,,2,,N/A,,N/A,,N/A,
"Q. Program Evaluation","87. Does your program share your evaluation findings with program stakeholders including participants, staff, board members, funders, etc.?",1.5333333333333,3,,N/A,,N/A,,4,,4,,2,,4,,2,,N/A,,N/A,,1,,3,,N/A,,N/A,,N/A,
